Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Team_PTS,Team_AST,Tean_TRB,Team_TOV,Team_STL
137,Daniel Gafford,C,25,WAS,19,19,471,80,116,0.69,0,0,,80,116,0.69,0.69,28,43,0.651,49,88,137,33,12,39,21,65,188,gaffoda01,2442,585,815,286,165
138,Danilo Gallinari,PF,35,WAS,19,0,303,50,111,0.45,16,52,0.308,34,59,0.576,0.523,31,38,0.816,10,52,62,28,5,3,8,22,147,gallida01,2442,585,815,286,165
147,Anthony Gill,PF,31,WAS,12,0,72,11,24,0.458,0,4,0,11,20,0.55,0.458,10,12,0.833,7,9,16,5,3,3,7,6,32,gillan01,2442,585,815,286,165
231,Tyus Jones,PG,27,WAS,21,21,568,102,200,0.51,23,65,0.354,79,135,0.585,0.568,13,17,0.765,6,52,58,104,20,5,14,18,240,jonesty01,2442,585,815,286,165
238,Corey Kispert,SF,24,WAS,20,1,457,74,166,0.446,40,106,0.377,34,60,0.567,0.566,31,39,0.795,9,42,51,32,9,1,18,35,219,kispeco01,2442,585,815,286,165
245,Kyle Kuzma,PF,28,WAS,21,21,658,189,400,0.473,47,132,0.356,142,268,0.53,0.531,56,69,0.812,19,102,121,97,6,13,51,43,481,kuzmaky01,2442,585,815,286,165
319,Mike Muscala,C,32,WAS,9,1,103,12,25,0.48,5,14,0.357,7,11,0.636,0.58,6,6,1,2,17,19,8,2,3,8,8,35,muscami01,2442,585,815,286,165
337,Eugene Omoruyi,SF,26,WAS,12,0,79,24,38,0.632,5,12,0.417,19,26,0.731,0.697,13,17,0.765,9,13,22,8,5,1,7,11,66,omorueu01,2442,585,815,286,165
350,Jordan Poole,SG,24,WAS,20,20,584,121,299,0.405,37,126,0.294,84,173,0.486,0.467,61,71,0.859,9,44,53,67,22,7,57,64,340,poolejo01,2442,585,815,286,165
379,Ryan Rollins,PG,21,WAS,8,0,49,9,18,0.5,1,2,0.5,8,16,0.5,0.528,13,16,0.813,2,8,10,10,8,2,7,6,32,rolliry01,2442,585,815,286,165
398,Landry Shamet,SG,26,WAS,15,0,253,48,101,0.475,24,60,0.4,24,41,0.585,0.594,5,11,0.455,2,19,21,22,9,2,9,31,125,shamela01,2442,585,815,286,165
489,Delon Wright,PG,31,WAS,8,0,141,11,30,0.367,4,11,0.364,7,19,0.368,0.433,14,16,0.875,3,17,20,35,13,1,4,6,40,wrighde01,2442,585,815,286,165
